Taxa,Depth below sediment water interface (cm)
Microtendipes,1055.5
Fragmented hc,1055.5
Multiple,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Multiple,1055.5
Microtendipes,1055.5
Multiple,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Particles,1055.5
Blurry specimens,1055.5
Fragmented hc,1055.5
Limnophyes type,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Micropsectra insignilobus,1055.5
Fragmented hc,1056.5
Blurry specimens,1056.5
Microtendipes,1056.5
Microtendipes,1056.5
Limnophyes type,1056.5
Psectrocladius spp,1056.5
Chaoborus mandible,1056.5
Microtendipes,1056.5
Blurry specimens,1056.5
Background,1056.5
Microtendipes,1056.5
Psectrocladius spp,1056.5
Microtendipes,1056.5
Blurry specimens,1056.5
Microtendipes,1056.5
Background,1056.5
Blurry specimens,1056.5
Microtendipes,1056.5
Psectrocladius spp,1056.5
Microtendipes,1056.5
Microtendipes,1056.5
Microtendipes,1056.5
Psectrocladius spp,1056.5
Microtendipes,1056.5
Paratanytarsus austriacus,1056.5
Microtendipes,1056.5
Chironomus spp,1056.5
Blurry specimens,1056.5
Microtendipes,1056.5
Microtendipes,1056.5
Limnophyes type,1056.5
Microtendipes,1056.5
Tanytarsus lugens,1056.5
Blurry specimens,1056.5
Chironomus spp,1056.5
Microtendipes,1056.5
Limnophyes type,1057.5
Chironomus spp,1057.5
Blurry specimens,1057.5
Tanytarsus lugens,1057.5
Limnophyes type,1057.5
Tanytarsus lugens,1057.5
Limnophyes type,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
others,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Tanytarsus lugens,1057.5
Background,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Limnophyes type,1057.5
Blurry specimens,1057.5
Micropsectra insignilobus,1057.5
Fragmented hc,1057.5
Particles,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Tanytarsus lugens,1057.5
Microtendipes,1057.5
Multiple,1057.5
Tanytarsus lugens,1057.5
Orthocladiinae Diamesinae,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Micropsectra insignilobus,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Particles,1057.5
Microtendipes,1057.5
Micropsectra insignilobus,1057.5
Limnophyes type,1057.5
Blurry specimens,1057.5
Multiple,1057.5
Microtendipes,1057.5
